entry_time,exit_time,symbol,range_pos,whale_size,whale_ratio,entry_price,exit_price,peak_price,pnl_pct,hold_min,reason
2026-07-20T14:24:45.850226+09:00,2026-07-20T22:47:43.428526+09:00,XEC,0.14,3481734,12.2,0.0116,0.0112,0.0119,-3.45,503,손절-3.0%
2026-07-20T22:41:43.371189+09:00,2026-07-20T22:49:08.193072+09:00,ACE,0.23,10103985,22.1,179,173,179,-3.35,7,손절-3.0%
2026-07-20T08:43:38.020345+09:00,2026-07-20T22:55:46.272607+09:00,BASED,0.17,7457392,21.3,131,125,136,-4.58,852,손절-3.0%
2026-07-20T10:51:55.443940+09:00,2026-07-20T23:01:50.015319+09:00,BLAST,0.25,3321495,73.9,0.411,0.398,0.415,-3.16,730,손절-3.0%
2026-07-19T23:31:16.497083+09:00,2026-07-20T23:31:33.256823+09:00,TT,0.12,3431663,72.5,0.9205,0.9099,0.9323,-1.15,1440,타임아웃24h
2026-07-20T15:04:35.365444+09:00,2026-07-20T23:31:56.938362+09:00,G,0.22,7445583,68.6,4.861,4.71,4.92,-3.11,507,손절-3.0%
2026-07-20T14:11:32.716197+09:00,2026-07-20T23:34:11.744234+09:00,KAITO,0.11,4440610,8.1,1351,1372,1440,+1.55,563,트레일(고점+6.6%)
2026-07-19T23:37:32.090002+09:00,2026-07-20T23:37:36.669255+09:00,TRX,0.00,3548550,50.1,482,479,482,-0.62,1440,타임아웃24h
2026-07-20T22:51:44.997584+09:00,2026-07-21T00:06:29.852666+09:00,HEMI,0.26,3101337,11.7,7.55,7.834,8.223,+3.76,75,트레일(고점+8.9%)
2026-07-20T22:11:08.379351+09:00,2026-07-21T00:09:33.463428+09:00,ALICE,0.12,3120893,18.1,187,181,188,-3.21,118,손절-3.0%
2026-07-20T00:13:23.381533+09:00,2026-07-21T00:13:40.343793+09:00,BCH,0.09,5158210,35.7,318000,317000,319400,-0.31,1440,타임아웃24h
2026-07-20T19:45:50.905942+09:00,2026-07-21T00:14:06.318092+09:00,TAIKO,0.17,5796552,13.6,146,148,157,+1.37,268,트레일(고점+7.5%)
2026-07-20T19:22:35.319695+09:00,2026-07-21T00:20:32.494312+09:00,PYR,0.25,4694405,11.3,171,165,175,-3.51,298,손절-3.0%
2026-07-20T00:21:00.136999+09:00,2026-07-21T00:21:16.147064+09:00,AGLD,0.00,7840024,57.1,217,222,223,+2.30,1440,타임아웃24h
2026-07-20T23:39:31.165817+09:00,2026-07-21T00:35:07.059308+09:00,ZIL,0.09,3191999,90.9,4.433,4.283,4.595,-3.38,56,손절-3.0%
2026-07-20T06:22:40.303567+09:00,2026-07-21T01:02:03.943959+09:00,VERONA,0.14,3251049,11.8,177,171,177,-3.39,1119,손절-3.0%
2026-07-20T15:59:24.414209+09:00,2026-07-21T01:22:14.043118+09:00,ARX,0.12,4133442,57.5,224,229,241,+2.23,563,트레일(고점+7.6%)
2026-07-21T00:14:27.033523+09:00,2026-07-21T01:54:14.082334+09:00,TAIKO,0.17,5796552,13.6,148,143,152,-3.38,100,손절-3.0%
2026-07-20T23:27:00.308412+09:00,2026-07-21T02:01:08.465564+09:00,HOME,0.19,3523071,36.1,11.22,10.82,11.25,-3.57,154,손절-3.0%
2026-07-20T20:21:58.147396+09:00,2026-07-21T03:16:59.756523+09:00,CAP,0.07,3603801,36.0,29.56,29.95,31.55,+1.32,415,트레일(고점+6.7%)
2026-07-20T00:04:19.390956+09:00,2026-07-21T03:21:26.272104+09:00,MINA,0.23,3533901,68.2,64.15,65.73,65.73,+2.46,1637,타임아웃24h
2026-07-21T03:18:49.364088+09:00,2026-07-21T04:00:33.335885+09:00,HEMI,0.16,3710393,71.5,8.5,8.234,8.559,-3.13,42,손절-3.0%
2026-07-20T07:14:33.957276+09:00,2026-07-21T04:03:34.004293+09:00,ALLO,0.25,6108865,24.0,662,683,717,+3.17,1249,트레일(고점+8.3%)
2026-07-21T03:17:20.452169+09:00,2026-07-21T04:15:49.077168+09:00,CAP,0.07,3603801,36.0,29.95,28.97,30.01,-3.27,58,손절-3.0%
2026-07-20T21:51:50.923078+09:00,2026-07-21T04:19:34.430520+09:00,CSPR,0.01,3447190,17.4,2.386,2.466,2.601,+3.35,388,트레일(고점+9.0%)
2026-07-20T15:51:46.254145+09:00,2026-07-21T04:21:26.735142+09:00,BILL,0.14,7358009,147.2,34.58,35.33,37.06,+2.17,750,트레일(고점+7.2%)
