exit_time,coin,entry,exit,pnl_pct,reason,held_h,chg24h_at_entry,rsi_at_entry,vol_ratio_at_entry,ma20_gap_pct,btc_chg24_at_entry
2026-07-03 00:13:42,PEPE,0.0037,0.0037,+0.00,타임아웃4H,4.0,+5.7,100.0,0.39,0.68,+3.5
2026-07-03 07:29:42,ALICE,181.0000,177.0000,-2.21,타임아웃4H,9.6,+6.5,53.3,0.17,-0.06,+4.2
2026-07-03 07:29:43,D,4.4460,4.3660,-1.80,타임아웃4H,8.1,+2.2,54.3,1.61,0.71,+2.5
2026-07-03 07:29:45,ZK,15.5000,15.4000,-0.65,타임아웃4H,7.3,+1.7,27.2,0.13,-1.24,+2.2
2026-07-03 11:33:59,ETH,2561000.0000,2567000.0000,+0.23,타임아웃4H,4.1,+3.6,22.7,0.64,-0.26,+0.9
2026-07-03 11:39:00,CAP,33.2200,33.6700,+1.35,타임아웃4H,4.1,-9.9,54.5,0.0,0.41,+1.1
2026-07-03 11:44:00,SAND,72.6600,73.0200,+0.50,타임아웃4H,4.1,-0.6,72.3,4.97,0.35,+1.1
2026-07-03 15:34:17,LIT,3113.0000,3160.0000,+1.51,타임아웃4H,4.0,-1.1,54.9,0.19,0.0,+1.5
2026-07-03 15:39:18,ME,100.0000,99.0400,-0.96,타임아웃4H,4.0,+8.2,50.0,2.21,-1.23,+1.3
2026-07-03 15:44:18,MANTA,93.6000,93.3900,-0.22,타임아웃4H,4.0,+4.5,24.1,0.61,-0.94,+1.1
2026-07-03 19:34:37,MEGA,73.1500,73.6400,+0.67,타임아웃4H,4.0,+7.3,54.2,2.88,-0.22,+1.3
2026-07-03 19:39:37,PEPE,0.0038,0.0038,+0.00,타임아웃4H,4.0,+5.6,66.7,0.0,1.33,+1.2
2026-07-03 19:44:38,BCH,335200.0000,342500.0000,+2.18,타임아웃4H,4.0,+2.7,41.4,0.05,-0.32,+1.1
2026-07-03 23:34:55,POWR,66.5900,67.2500,+0.99,타임아웃4H,4.0,+3.1,62.5,1.17,0.44,+0.5
2026-07-03 23:39:56,INJ,7160.0000,7205.0000,+0.63,타임아웃4H,4.0,+3.8,75.0,0.0,0.45,+0.6
2026-07-03 23:44:56,COOKIE,14.2000,13.8900,-2.18,타임아웃4H,4.0,+5.9,51.1,0.75,0.41,+0.9
2026-07-04 03:35:13,SUI,1132.0000,1144.0000,+1.06,타임아웃4H,4.0,+1.5,35.1,1.36,-0.58,+0.2
2026-07-04 03:40:14,RE,961.0000,942.0000,-1.98,타임아웃4H,4.0,-2.4,42.3,0.85,-0.77,+0.3
2026-07-04 03:45:14,ME,97.5600,97.0800,-0.49,타임아웃4H,4.0,-0.2,26.4,0.07,-0.5,+0.7
2026-07-04 07:35:32,TAIKO,215.0000,215.0000,+0.00,타임아웃4H,4.0,-7.7,36.8,0.55,-2.01,+0.4
2026-07-04 07:40:32,CAP,30.4900,30.4800,-0.03,타임아웃4H,4.0,-6.9,27.4,3.11,-0.84,+0.5
2026-07-04 07:45:33,GNO,387300.0000,383200.0000,-1.06,타임아웃4H,4.0,+3.2,45.1,0.03,0.41,+0.5
2026-07-04 11:35:50,ZBT,211.0000,211.0000,+0.00,타임아웃4H,4.0,-1.9,37.5,1.04,-0.09,+1.5
2026-07-04 11:40:51,LA,98.8100,104.0000,+5.25,타임아웃4H,4.0,+5.4,58.4,0.02,0.36,+1.6
2026-07-04 11:45:51,ID,54.2900,53.2300,-1.95,타임아웃4H,4.0,+8.7,54.9,0.07,0.36,+1.6
2026-07-04 15:36:09,SAHARA,16.3300,16.2700,-0.37,타임아웃4H,4.0,+2.3,60.0,0.08,0.2,+1.6
2026-07-04 15:41:10,SPX,597.0000,598.0000,+0.17,타임아웃4H,4.0,+4.5,46.2,1.85,-0.16,+1.7
2026-07-04 15:46:10,ENA,119.0000,119.0000,+0.00,타임아웃4H,4.0,+3.5,57.1,0.01,0.51,+1.8
2026-07-04 18:31:23,BASED,147.0000,138.0000,-6.12,손절-6.0%,2.8,+4.3,38.9,0.06,-1.01,+1.6
2026-07-04 19:36:28,DOGE,117.0000,117.0000,+0.00,타임아웃4H,4.0,+2.6,60.0,0.0,0.17,+1.5
2026-07-04 19:46:29,GRASS,845.0000,837.0000,-0.95,타임아웃4H,4.0,+10.2,67.4,0.08,1.23,+1.6
2026-07-04 22:31:40,LINK,11940.0000,12000.0000,+0.50,타임아웃4H,4.0,+1.9,42.9,0.09,-0.17,+1.4
2026-07-04 23:36:45,BICO,23.8000,24.9300,+4.75,타임아웃4H,4.0,+8.1,61.2,0.06,0.87,+1.3
2026-07-04 23:46:46,GNO,362800.0000,376800.0000,+3.86,타임아웃4H,4.0,-5.0,44.3,0.35,-0.72,+1.0
2026-07-05 02:32:09,NEX,0.0042,0.0043,+2.38,타임아웃4H,4.0,+2.4,40.0,0.01,-1.98,+1.0
2026-07-05 03:37:14,VVV,18530.0000,18560.0000,+0.16,타임아웃4H,4.0,-9.3,32.2,0.47,-0.29,+1.4
2026-07-05 03:47:15,BLEND,103.0000,103.0000,+0.00,타임아웃4H,4.0,-1.9,60.0,1.22,1.18,+1.1
2026-07-05 06:32:28,SAND,76.9700,77.2400,+0.35,타임아웃4H,4.0,-1.4,52.1,0.0,0.3,+1.4
2026-07-05 07:37:34,ALICE,194.0000,192.0000,-1.03,타임아웃4H,4.0,+4.9,44.4,0.33,-0.08,+1.5
2026-07-05 07:47:35,PRL,275.0000,276.0000,+0.36,타임아웃4H,4.0,+5.4,50.0,0.01,-0.13,+1.5
2026-07-05 10:32:48,EDEN,67.1900,65.9600,-1.83,타임아웃4H,4.0,+0.1,65.3,6.01,0.91,+1.5
2026-07-05 11:37:54,STORJ,116.0000,117.0000,+0.86,타임아웃4H,4.0,+0.9,28.6,1.3,-1.15,+1.1
2026-07-05 11:47:55,RE,953.0000,1000.0000,+4.93,타임아웃4H,4.0,+1.3,48.5,4.88,-0.17,+1.1
