pump_id,coin,entry_ts,entry_price,exit_ts,exit_price,exit_reason,hold_sec,pnl_pct,slippage
445,GHX,1779600389.0,15.34,1779600401.0,15.24,시간초과,12,-0.011518904823989547,0.0
447,STAT,1779602435.0,70.71,1779602466.0,64.57,손절,31,-0.09183354546740209,0.0
448,STAT,1779604539.0,74.93,1779604740.0,75.59,시간초과,201,0.0038082210062724752,0.0
452,WNCG,1779613982.0,16.07,1779614131.0,15.94,시간초과,149,-0.013089607965152506,0.0
454,SIX,1779635046.0,15.31,1779635076.0,14.72,손절,30,-0.04353690398432396,0.0
455,SIX,1779635065.0,14.85,1779635186.0,14.35,손절,121,-0.03867003367003367,0.0
457,RESOLV,1779634995.0,41.52,1779635015.0,40.0,손절,20,-0.04160886319845864,0.0
458,RESOLV,1779634996.0,41.5,1779635016.0,39.98,손절,20,-0.04162650602409646,0.0
460,RSS3,1779636609.0,14.0,1779637087.0,13.99,시간초과,478,-0.0057142857142856995,0.0
477,C98,1779694485.0,29.88,1779694585.0,29.97,시간초과,100,-0.0019879518072289204,0.0
478,C98,1779694416.0,30.17,1779694591.0,30.18,시간초과,175,-0.004668544912164467,0.0
479,C98,1779694398.0,30.13,1779694589.0,30.25,시간초과,191,-0.0010172585462993365,0.0
363,SD,1779206450.0,264.315,1779206521.0,259.695,시간초과,71,-0.022479144202939692,0.005
365,EDEN,1779213772.0,124.61999999999999,1779213794.0,125.37,시간초과,22,0.001018295618680904,0.005
367,PROMPT,1779225048.0,60.973349999999996,1779225380.0,60.5358,시간초과,332,-0.012176085945745062,0.005
369,PROVE,1779235792.0,346.72499999999997,1779235839.0,336.31,손절,47,-0.035038214723483924,0.005
370,SD,1779242897.0,252.25499999999997,1779242926.0,251.73499999999999,시간초과,29,-0.007061406116826156,0.005
374,PONKE,1779254376.0,62.58134999999999,1779254416.0,59.859199999999994,손절,40,-0.048497783285275875,0.005
380,EDEN,1779304361.0,170.85,1779304712.0,164.175,손절,351,-0.044069359086918246,0.005
382,AVL,1779361427.0,52.370549999999994,1779361966.0,51.89919999999999,시간초과,539,-0.014000287375251951,0.005
384,YB,1779370339.0,178.89,1779370379.0,179.1,시간초과,40,-0.00382609424786177,0.005
387,OXT,1779377148.0,17.43675,1779377265.0,17.153799999999997,시간초과,117,-0.021227221242490896,0.005
388,AGI,1779378941.0,12.431849999999997,1779379051.0,12.139,시간초과,110,-0.028556429654476037,0.005
390,AVL,1779380113.0,58.229699999999994,1779380545.0,57.938849999999995,시간초과,432,-0.009994873749993543,0.005
392,PONKE,1779381726.0,56.21969999999999,1779381766.0,57.859249999999996,익절,40,0.024163264834213046,0.005
398,BOB,1779437546.0,14.281049999999999,1779437586.0,14.25835,시간초과,40,-0.006589518977946202,0.005
399,XTER,1779437787.0,27.7782,1779437855.0,28.0391,시간초과,68,0.004392257237690096,0.005
405,SUNDOG,1779464022.0,11.255999999999998,1779464022.0,11.144,시간초과,0,-0.014950248756218757,0.005
406,SYRUP,1779464392.0,524.6099999999999,1779464413.0,419.89,손절,21,-0.20461495205962513,0.005
407,MAY,1779464443.0,9.245999999999999,1779465006.0,9.116190000000001,시간초과,563,-0.019039584685269017,0.005
408,YFI,1779464503.0,3763724.9999999995,1779465045.0,3671550.0,시간초과,542,-0.029490365263136798,0.005
409,GNO,1779464694.0,180397.49999999997,1779464865.0,173130.0,손절,171,-0.045286035006028194,0.005
410,ALLO,1779464991.0,147.73499999999999,1779465435.0,148.255,시간초과,444,-0.0014801841134463043,0.005
411,SUNDOG,1779465348.0,11.778599999999999,1779465519.0,11.71115,시간초과,171,-0.010726487018830687,0.005
414,GMT,1779516257.0,17.858849999999997,1779516297.0,16.7757,손절,40,-0.06565060180246748,0.005
415,PUFFER,1779522624.0,38.923649999999995,1779522676.0,36.46675,손절,52,-0.06812100740809246,0.005
420,GRACY,1779547614.0,14.572499999999998,1779547915.0,14.4076,시간초과,301,-0.01631583462000327,0.005
421,BOB,1779549178.0,14.009699999999999,1779549198.0,13.93995,시간초과,20,-0.009978693333904302,0.005
423,BOB,1779549178.0,14.009699999999999,1779549550.0,14.148900000000001,시간초과,372,0.004935972933039426,0.005
426,RESOLV,1779550223.0,59.18444999999999,1779550304.0,55.5409,손절,81,-0.06656262329040806,0.005
427,PEAQ,1779550344.0,47.74754999999999,1779550735.0,50.79474999999999,익절,391,0.05881898128804524,0.005
428,ID,1779550354.0,47.91839999999999,1779550444.0,46.1083,손절,90,-0.042774633543690765,0.005
430,GHX,1779551289.0,12.542399999999999,1779551680.0,12.556899999999999,시간초과,391,-0.0038439214185482873,0.005
436,GHX,1779590309.0,14.391599999999999,1779590379.0,13.731,손절,70,-0.050901776036020925,0.005
437,SWAP,1779591330.0,84.41999999999999,1779591661.0,80.88355,손절,331,-0.04689113954039313,0.005
438,GHX,1779591862.0,14.80365,1779592141.0,14.73595,시간초과,279,-0.009573196475193519,0.005
439,STAT,1779593515.0,59.54624999999999,1779593545.0,57.690099999999994,손절,30,-0.03617156831874383,0.005
442,STAT,1779597861.0,62.62155,1779597901.0,60.50595,손절,40,-0.038783897076964724,0.005
443,GHX,1779598774.0,15.255899999999999,1779598856.0,15.0046,시간초과,82,-0.0214723156287075,0.005
445,GHX,1779600389.0,15.416699999999999,1779600401.0,15.1638,시간초과,12,-0.021404288855591574,0.005
447,STAT,1779602435.0,71.06354999999999,1779602466.0,64.24714999999999,손절,31,-0.10091977884583592,0.005
448,STAT,1779604539.0,75.30465,1779604740.0,75.21205,시간초과,201,-0.00622967174005842,0.005
