exit_time,coin,lead,entry,exit,pnl_pct,reason,strong
2026-06-30 21:37:57,AI,2.17,53.0600,52.1000,-1.81,손절-1.5%,False
2026-06-30 22:18:57,IN,1.51,219.0000,219.0000,+0.00,트레일(고점+1.4%),False
2026-06-30 22:19:03,CPOOL,1.69,38.3600,37.6500,-1.85,손절-1.5%,False
2026-06-30 22:19:22,CPOOL,8.98,36.2300,35.0100,-3.37,손절-1.5%,True
2026-06-30 22:19:37,CPOOL,7.49,35.7500,35.8800,+0.36,트레일(고점+2.2%),True
2026-06-30 22:20:07,CPOOL,3.50,35.6800,35.6900,+0.03,트레일(고점+1.3%),True
2026-06-30 22:21:34,CPOOL,2.60,36.2100,37.0600,+2.35,트레일(고점+3.4%),False
2026-06-30 22:21:37,TAIKO,2.70,137.0000,138.0000,+0.73,타임아웃15분,False
2026-06-30 22:21:52,CPOOL,2.13,37.4300,36.2500,-3.15,손절-1.5%,False
2026-06-30 22:22:22,CPOOL,2.10,37.4500,37.9700,+1.39,트레일(고점+2.6%),False
2026-06-30 22:22:38,EDGE,1.79,108.0000,109.0000,+0.93,타임아웃15분,False
2026-06-30 22:23:27,CPOOL,2.42,38.9500,39.0500,+0.26,트레일(고점+1.7%),False
2026-06-30 22:24:20,CPOOL,1.58,40.9900,40.1300,-2.10,손절-1.5%,False
2026-06-30 22:24:48,CPOOL,13.69,37.8200,37.1100,-1.88,손절-1.5%,True
2026-06-30 22:25:44,CPOOL,2.27,37.6800,36.9000,-2.07,손절-1.5%,False
2026-06-30 22:26:10,CPOOL,1.58,37.6500,37.0500,-1.59,손절-1.5%,False
2026-06-30 22:26:55,AHT,2.26,1.7810,1.7530,-1.57,손절-1.5%,False
2026-06-30 22:27:00,CPOOL,1.95,37.3900,37.4800,+0.24,트레일(고점+1.4%),False
2026-06-30 22:28:12,CPOOL,3.48,37.5000,36.8500,-1.73,손절-1.5%,True
2026-06-30 22:30:02,CPOOL,2.66,35.6300,35.0000,-1.77,손절-1.5%,False
2026-06-30 22:31:13,MOC,1.94,27.8000,27.3600,-1.58,손절-1.5%,False
2026-06-30 22:31:39,CPOOL,2.03,36.5000,36.3900,-0.30,트레일(고점+1.4%),False
2026-06-30 22:32:16,IN,2.35,224.0000,220.0000,-1.79,손절-1.5%,False
2026-06-30 22:35:53,CPOOL,3.68,35.6400,35.7000,+0.17,트레일(고점+2.7%),True
2026-06-30 22:37:43,SAFE,1.50,132.0000,131.0000,-0.76,타임아웃15분,False
2026-06-30 22:40:56,CPOOL,5.86,33.1700,32.2500,-2.77,손절-1.5%,True
2026-06-30 22:51:03,CPOOL,1.55,30.1300,29.5700,-1.86,손절-1.5%,False
2026-06-30 23:09:07,TAIKO,2.00,136.0000,135.0000,-0.74,타임아웃15분,False
2026-06-30 23:11:29,AI,1.59,48.8900,48.0700,-1.68,손절-1.5%,False
2026-06-30 23:12:36,IN,6.81,244.0000,252.0000,+3.28,트레일(고점+4.5%),True
2026-06-30 23:17:11,AHT,1.75,1.7180,1.6910,-1.57,손절-1.5%,False
2026-06-30 23:18:15,EDGE,1.79,108.0000,109.0000,+0.93,타임아웃15분,False
2026-06-30 23:19:12,AHT,3.36,1.6510,1.6670,+0.97,트레일(고점+2.5%),True
2026-06-30 23:22:26,AHT,3.52,1.6670,1.6970,+1.80,트레일(고점+3.3%),True
2026-06-30 23:28:03,TAIKO,1.96,135.0000,136.0000,+0.74,타임아웃15분,False
2026-06-30 23:28:52,CPOOL,2.13,29.2600,29.3000,+0.14,트레일(고점+1.2%),False
2026-06-30 23:34:01,IN,1.65,292.0000,293.0000,+0.34,트레일(고점+1.7%),False
2026-06-30 23:36:34,SAFE,1.50,133.0000,131.0000,-1.50,손절-1.5%,False
2026-06-30 23:38:51,IN,2.03,289.0000,290.0000,+0.35,트레일(고점+1.4%),False
2026-06-30 23:40:39,IN,2.74,284.0000,292.0000,+2.82,트레일(고점+3.9%),False
2026-06-30 23:46:10,EDGE,1.75,108.0000,108.0000,+0.00,타임아웃15분,False
2026-06-30 23:46:53,IN,1.99,285.0000,280.0000,-1.75,손절-1.5%,False
2026-07-01 00:09:34,AI,5.43,46.4100,45.7000,-1.53,손절-1.5%,True
2026-07-01 00:16:45,IN,1.93,346.0000,352.0000,+1.73,트레일(고점+2.9%),False
2026-07-01 00:28:00,EDGE,1.79,116.0000,114.0000,-1.72,손절-1.5%,False
2026-07-01 00:29:56,EDGE,1.74,117.0000,115.0000,-1.71,손절-1.5%,False
2026-07-01 00:35:06,IN,2.56,360.0000,354.0000,-1.67,손절-1.5%,False
2026-07-01 00:35:28,IN,3.08,353.0000,346.0000,-1.98,손절-1.5%,True
2026-07-01 00:37:34,AI,1.95,46.1800,46.3500,+0.37,트레일(고점+1.5%),False
2026-07-01 00:39:08,IN,2.35,363.0000,354.0000,-2.48,손절-1.5%,False
2026-07-01 01:02:07,SLX,1.87,824.0000,828.0000,+0.49,트레일(고점+1.8%),False
2026-07-01 01:09:15,TAIKO,1.96,137.0000,134.0000,-2.19,손절-1.5%,False
2026-07-01 01:11:16,EDGE,1.74,114.0000,115.0000,+0.88,트레일(고점+2.6%),False
2026-07-01 01:11:43,AI,1.67,45.6600,44.9500,-1.55,손절-1.5%,False
2026-07-01 01:12:01,AHT,2.04,1.5900,1.5900,+0.00,트레일(고점+1.6%),False
2026-07-01 01:18:33,IN,2.65,326.0000,330.0000,+1.23,트레일(고점+2.5%),False
2026-07-01 01:19:51,TOKAMAK,7.38,650.0000,677.0000,+4.15,트레일(고점+9.5%),True
2026-07-01 01:20:21,TOKAMAK,5.55,677.0000,677.0000,+0.00,트레일(고점+1.2%),True
2026-07-01 01:50:56,CPOOL,2.13,28.3400,28.5000,+0.56,타임아웃15분,False
2026-07-01 02:00:22,TOKAMAK,3.95,669.0000,645.0000,-3.59,손절-1.5%,True
2026-07-01 02:00:49,IN,4.22,234.0000,234.0000,+0.00,트레일(고점+1.3%),True
2026-07-01 02:00:57,IN,2.13,234.0000,230.0000,-1.71,손절-1.5%,False
2026-07-01 02:01:02,EDGE,1.72,117.0000,115.0000,-1.71,손절-1.5%,False
2026-07-01 02:02:02,IN,2.73,231.0000,231.0000,+0.00,트레일(고점+1.3%),False
2026-07-01 02:02:28,IN,4.21,234.0000,235.0000,+0.43,트레일(고점+2.1%),True
2026-07-01 02:04:02,IN,1.80,228.0000,228.0000,+0.00,트레일(고점+1.3%),False
2026-07-01 02:05:12,IN,1.92,219.0000,219.0000,+0.00,트레일(고점+1.4%),False
2026-07-01 02:07:10,IN,2.29,221.0000,224.0000,+1.36,트레일(고점+2.7%),False
2026-07-01 02:08:16,IN,2.79,219.0000,226.0000,+3.20,트레일(고점+4.6%),False
2026-07-01 02:08:19,IN,2.06,226.0000,226.0000,+0.00,트레일(고점+1.8%),False
2026-07-01 02:09:44,IN,1.80,225.0000,227.0000,+0.89,트레일(고점+3.1%),False
2026-07-01 02:11:32,TOKAMAK,1.54,573.0000,584.0000,+1.92,트레일(고점+3.1%),False
2026-07-01 02:11:44,IN,2.27,215.0000,217.0000,+0.93,트레일(고점+2.3%),False
2026-07-01 02:17:32,IN,1.76,221.0000,217.0000,-1.81,손절-1.5%,False
2026-07-01 02:21:18,IN,2.38,208.0000,209.0000,+0.48,트레일(고점+2.4%),False
2026-07-01 02:24:13,IN,4.29,206.0000,199.0000,-3.40,손절-1.5%,True
2026-07-01 02:27:08,IN,1.94,195.0000,196.0000,+0.51,트레일(고점+1.5%),False
2026-07-01 02:31:15,IN,3.11,188.0000,190.0000,+1.06,트레일(고점+2.7%),True
2026-07-01 02:32:52,IN,2.96,188.0000,188.0000,+0.00,트레일(고점+1.1%),False
2026-07-01 02:33:06,TAIKO,1.90,137.0000,138.0000,+0.73,타임아웃15분,False
2026-07-01 02:34:16,EDGE,2.61,118.0000,115.0000,-2.54,손절-1.5%,False
2026-07-01 02:37:58,IN,1.97,187.0000,187.0000,+0.00,트레일(고점+1.1%),False
2026-07-01 02:46:03,IN,1.97,194.0000,197.0000,+1.55,트레일(고점+2.6%),False
2026-07-01 02:46:41,EDGE,1.72,115.0000,115.0000,+0.00,트레일(고점+1.7%),False
2026-07-01 02:47:50,IN,1.51,199.0000,199.0000,+0.00,트레일(고점+1.0%),False
2026-07-01 02:51:02,TAIKO,1.87,138.0000,138.0000,+0.00,타임아웃15분,False
2026-07-01 02:56:05,ENA,1.83,112.0000,111.0000,-0.89,타임아웃15분,False
2026-07-01 03:01:00,MOC,2.04,25.8400,25.8400,+0.00,타임아웃15분,False
2026-07-01 03:12:53,TAIKO,1.85,138.0000,138.0000,+0.00,타임아웃15분,False
2026-07-01 03:19:46,EDGE,1.75,115.0000,112.0000,-2.61,손절-1.5%,False
2026-07-01 03:25:05,DOGE,2.74,109.0000,109.0000,+0.00,트레일(고점+1.8%),False
2026-07-01 03:27:58,IN,1.99,204.0000,200.0000,-1.96,손절-1.5%,False
2026-07-01 03:30:12,TAIKO,1.85,138.0000,138.0000,+0.00,타임아웃15분,False
2026-07-01 03:33:37,EDGE,1.75,112.0000,112.0000,+0.00,트레일(고점+1.8%),False
2026-07-01 03:43:34,IN,2.17,201.0000,200.0000,-0.50,타임아웃15분,False
