entry_time,exit_time,symbol,kind,entry_price,exit_price,qv_ratio,r12_pct,price_pnl_pct,funding_pct,fee_pct,net_pnl_pct,hold_h,reason,btc_entry,btc_exit,signal_delay_s
2026-08-26T13:37:07.378410+09:00,2026-08-27T13:34:19.812492+09:00,CLOUSDT,random,0.08135,0.10035,,,23.356,0.2331,0.12,23.003,24.01,24h만기,78921.0,78695.1,0
2026-08-26T13:45:26.968836+09:00,2026-08-27T13:49:12.188302+09:00,MOVEUSDT,signal,0.008815,0.008215,0.5364,5.041,-6.807,-0.329,0.12,-6.598,24.11,24h만기,78950.0,78701.1,0
2026-08-26T13:45:27.458709+09:00,2026-08-27T13:49:12.698052+09:00,CELRUSDT,random,0.002282,0.002432,,,6.573,0.0167,0.12,6.436,24.11,24h만기,78950.0,78701.1,0
2026-08-26T14:25:55.652467+09:00,2026-08-27T14:26:06.824874+09:00,MAGMAUSDT,signal,0.23857,0.30197,1.0705,6.671,26.575,0.0823,0.12,26.373,24.04,24h만기,78894.6,78729.5,0
2026-08-26T14:25:56.071371+09:00,2026-08-27T14:26:07.337302+09:00,JCTUSDT,random,0.002322,0.00218,,,-6.115,0.0851,0.12,-6.321,24.04,24h만기,78894.6,78729.5,0
2026-08-26T14:37:10.597058+09:00,2026-08-27T14:33:29.726526+09:00,龙虾USDT,signal,0.035076,0.030219,1.056,5.034,-13.847,0.1622,0.12,-14.129,24.01,24h만기,79100.0,78620.5,0
2026-08-26T14:37:11.067470+09:00,2026-08-27T14:33:30.372312+09:00,LUMIAUSDT,random,0.08766,0.08679,,,-0.992,0.03,0.12,-1.142,24.01,24h만기,79100.0,78620.5,0
2026-08-27T11:06:41.575934+09:00,2026-08-28T11:09:44.193514+09:00,BICOUSDT,signal,0.02594,0.02521,0.7412,8.581,-2.814,-1.5117,0.12,-1.423,24.06,24h만기,78891.4,80377.9,0
2026-08-27T11:06:41.824818+09:00,2026-08-28T11:09:44.799532+09:00,XAUTUSDT,random,4623.01,4569.45,,,-1.159,0.007,0.12,-1.286,24.06,24h만기,78891.4,80377.9,0
2026-08-27T11:06:47.000536+09:00,2026-08-28T11:09:45.384150+09:00,BTRUSDT,signal,0.14125,0.16831,0.309,6.644,19.158,0.275,0.12,18.763,24.06,24h만기,78891.4,80377.9,0
2026-08-27T11:06:47.232855+09:00,2026-08-28T11:09:45.928485+09:00,APTUSDT,random,0.5697,0.569,,,-0.123,-0.0111,0.12,-0.232,24.06,24h만기,78891.4,80377.9,0
2026-08-27T12:40:31.375607+09:00,2026-08-28T12:41:01.817448+09:00,ONGUSDT,signal,0.11465,0.12063,0.0438,10.944,5.216,-4.1542,0.12,9.25,24.03,24h만기,78822.6,79832.9,0
2026-08-27T12:40:31.609181+09:00,2026-08-28T12:41:02.309497+09:00,BANDUSDT,random,0.1745,0.1724,,,-1.203,0.03,0.12,-1.353,24.03,24h만기,78822.6,79832.9,0
2026-08-27T12:59:27.730289+09:00,2026-08-28T13:01:13.263278+09:00,PROMUSDT,signal,4.465,4.709,0.8783,5.806,5.465,0.035,0.12,5.31,24.06,24h만기,78780.1,79800.0,0
2026-08-27T12:59:27.973985+09:00,2026-08-28T13:01:13.771718+09:00,ONUSDT,random,0.2522,0.2503,,,-0.753,0.053,0.12,-0.926,24.06,24h만기,78780.1,79800.0,0
2026-08-27T13:22:03.365852+09:00,2026-08-28T13:25:29.611486+09:00,4USDT,signal,0.01218,0.013545,1.0441,5.491,11.207,0.1412,0.12,10.946,24.06,24h만기,78800.1,79830.8,0
2026-08-27T13:22:03.597349+09:00,2026-08-28T13:25:30.184055+09:00,JELLYJELLYUSDT,random,0.05507,0.05582,,,1.362,0.0377,0.12,1.204,24.06,24h만기,78800.1,79830.8,0
2026-08-27T13:36:21.828525+09:00,2026-08-28T13:35:43.790359+09:00,TACUSDT,signal,0.004995,0.002915,0.5125,14.748,-41.642,-0.1499,0.12,-41.612,24.02,24h만기,78695.1,79672.2,0
2026-08-27T13:36:22.097448+09:00,2026-08-28T13:35:44.256217+09:00,LTCUSDT,random,49.81,49.17,,,-1.285,0.0288,0.12,-1.434,24.02,24h만기,78695.1,79672.2,0
