entry_time,exit_time,symbol,rsi,vol_mult,chg24,entry_price,exit_price,pnl_pct,mfe_pct,mae_pct,reason
2026-07-31T16:29:06.320882+09:00,2026-08-01T00:28:41.965090+09:00,MUBARAKUSDT,92.1,4.6,14.7,0.01296,0.01374,-6.26,1.23,-6.02,8h만기
2026-08-01T17:45:03.067627+09:00,2026-08-02T01:46:28.244487+09:00,XAUTUSDT,93.7,5.0,-0.3,4042.1,4039.85,-0.18,0.06,-0.0,8h만기
2026-08-02T09:03:01.849923+09:00,2026-08-02T17:10:36.014347+09:00,KERNELUSDT,93.4,499.1,2.2,0.0329,0.0318,3.1,3.34,-1.52,8h만기
2026-08-03T00:49:27.446821+09:00,2026-08-03T08:48:57.673772+09:00,PORTALUSDT,94.1,24.8,17.5,0.01119,0.01046,6.28,6.52,-4.56,8h만기
2026-08-05T04:08:28.221237+09:00,2026-08-07T00:54:40.759578+09:00,BIOUSDT,92.3,5.5,3.3,0.02296,0.02415,-5.42,0.39,-5.18,8h만기
2026-08-07T11:13:37.916154+09:00,2026-08-07T19:12:36.654651+09:00,KMNOUSDT,95.4,24.9,15.0,0.02085,0.02061,0.91,6.14,-6.81,8h만기
2026-08-09T08:09:06.934490+09:00,2026-08-09T16:10:48.237640+09:00,XAUTUSDT,94.8,3.2,-0.0,4334.24,4331.61,-0.18,0.11,0.0,8h만기
2026-08-09T13:14:31.854513+09:00,2026-08-09T21:14:37.938004+09:00,METISUSDT,93.3,71.2,2.8,2.57,2.55,0.54,1.17,-0.78,8h만기
2026-08-10T04:55:00.005894+09:00,2026-08-10T12:59:05.095446+09:00,ASTERUSDT,93.9,13.5,0.8,0.612,0.611,-0.08,0.33,-1.14,8h만기
2026-08-11T07:02:36.626230+09:00,2026-08-11T15:04:37.460570+09:00,RADUSDT,98.1,3.2,25.8,0.263,0.283,-7.84,11.41,-7.6,8h만기
2026-08-11T13:02:19.270378+09:00,2026-08-11T21:05:37.831077+09:00,ARPAUSDT,94.1,20.0,1.3,0.00905,0.00895,0.86,1.44,-2.87,8h만기
2026-08-11T18:09:05.261838+09:00,2026-08-12T02:12:20.213183+09:00,TWTUSDT,92.1,3.2,1.6,0.3905,0.3921,-0.65,0.41,-1.66,8h만기
2026-08-11T21:31:10.552185+09:00,2026-08-12T05:34:23.307564+09:00,USTCUSDT,95.6,9.9,6.1,0.00534,0.00515,3.32,3.75,-2.43,8h만기
2026-08-12T21:49:42.943175+09:00,2026-08-13T05:52:32.203089+09:00,ENJUSDT,92.6,35.0,2.2,0.02531,0.02498,1.06,1.82,-0.91,8h만기
2026-08-13T13:03:02.680578+09:00,2026-08-13T21:05:26.374490+09:00,SEIUSDT,92.6,11.3,2.8,0.04125,0.04134,-0.46,0.15,-1.7,8h만기
2026-08-14T04:38:27.582836+09:00,2026-08-14T19:18:12.220175+09:00,AWEUSDT,92.3,3.3,3.6,0.06058,0.06134,-1.49,0.76,-2.34,8h만기
2026-08-15T01:27:30.046277+09:00,2026-08-15T09:29:47.836808+09:00,SLPUSDT,92.2,30.2,5.9,0.000557,0.000533,4.07,4.31,-2.33,8h만기
2026-08-15T18:02:37.461840+09:00,2026-08-16T02:05:07.991766+09:00,COWUSDT,99.4,56.7,25.6,0.1255,0.1409,-12.51,0.0,-50.92,8h만기
2026-08-16T06:24:22.077441+09:00,2026-08-16T14:28:37.133483+09:00,SUNUSDT,100.0,19.4,-0.2,0.01805,0.01793,0.42,0.78,0.0,8h만기
2026-08-16T14:29:27.792364+09:00,2026-08-16T22:34:01.875684+09:00,XAUTUSDT,97.8,15.5,0.0,4364.87,4359.5,-0.12,0.14,-0.01,8h만기
2026-08-16T23:24:08.801922+09:00,2026-08-17T07:28:34.967801+09:00,GIGGLEUSDT,95.2,18.9,19.0,36.68,31.86,12.9,13.41,0.0,8h만기
2026-08-19T00:07:02.153168+09:00,2026-08-19T08:07:01.167646+09:00,GNOUSDT,96.6,153.4,16.5,124.66,108.3,12.88,15.38,-6.01,8h만기
2026-08-19T03:12:13.785170+09:00,2026-08-19T11:14:18.654147+09:00,THETAUSDT,92.6,8.4,3.8,0.1428476758045292,0.1426,-0.07,1.78,-0.6,8h만기
