exit_time,coin,entry,exit,pnl_pct,reason,held_min
2026-07-12 17:21:58,BLAST,0.5459,0.5030,-7.86,SL-3.0%,3
2026-07-13 00:24:04,EPT,0.7620,0.8135,+6.76,TP+3.0%,4
2026-07-13 00:26:05,EPT,0.8510,0.8199,-3.65,SL-3.0%,1
2026-07-13 00:42:12,EPT,0.8309,0.7908,-4.83,SL-3.0%,12
2026-07-13 00:56:17,EPT,0.7908,0.8150,+3.06,TP+3.0%,14
2026-07-16 07:41:48,NFT,0.0004,0.0003,-25.00,SL-3.0%,1
2026-07-16 07:43:54,NFT,0.0003,0.0004,+33.33,TP+3.0%,2
2026-07-16 07:47:00,NFT,0.0004,0.0003,-25.00,SL-3.0%,3
2026-07-16 07:48:03,NFT,0.0003,0.0004,+33.33,TP+3.0%,1
2026-07-16 07:59:29,NFT,0.0004,0.0003,-25.00,SL-3.0%,11
2026-07-16 08:06:46,NFT,0.0003,0.0004,+33.33,TP+3.0%,7
2026-07-16 08:57:30,NFT,0.0004,0.0003,-25.00,SL-3.0%,51
2026-07-18 13:15:45,TOSHI,0.2073,0.2154,+3.91,TP+3.0%,25
2026-07-18 15:49:36,MLK,60.0200,57.8900,-3.55,SL-3.0%,1
2026-07-18 15:54:38,MLK,59.8400,57.9700,-3.13,SL-3.0%,3
2026-07-19 18:18:03,CBK,307.0000,318.0000,+3.58,TP+3.0%,2
2026-07-19 18:22:04,CBK,318.0000,330.0000,+3.77,TP+3.0%,4
2026-07-19 18:24:05,CBK,330.0000,345.0000,+4.55,TP+3.0%,2
2026-07-19 18:33:08,CBK,343.0000,330.0000,-3.79,SL-3.0%,7
2026-07-19 18:45:13,CBK,330.0000,342.0000,+3.64,TP+3.0%,12
2026-07-19 18:50:15,CBK,342.0000,325.0000,-4.97,SL-3.0%,5
2026-07-19 18:56:17,CBK,325.0000,289.0000,-11.08,SL-3.0%,6
2026-07-19 19:10:22,CBK,281.0000,270.0000,-3.91,SL-3.0%,8
2026-07-20 07:45:01,AZTEC,20.5800,21.2900,+3.45,TP+3.0%,27
2026-07-20 07:53:22,AZTEC,21.2000,20.4100,-3.73,SL-3.0%,7
2026-07-20 19:23:19,SUPER,122.0000,122.0000,+0.00,타임아웃120분,121
2026-07-21 16:00:11,MEV,3.3230,3.5930,+8.13,TP+3.0%,1
2026-07-21 16:19:18,MEV,3.6220,3.7750,+4.22,TP+3.0%,7
2026-07-21 16:27:21,MEV,4.0210,3.7900,-5.74,SL-3.0%,2
2026-07-21 16:31:23,MEV,3.9190,3.7640,-3.96,SL-3.0%,3
2026-07-21 16:43:28,MEV,3.8170,3.9490,+3.46,TP+3.0%,11
2026-07-21 16:47:30,MEV,3.9110,3.5690,-8.74,SL-3.0%,2
2026-07-21 16:54:32,MEV,3.2470,3.4130,+5.11,TP+3.0%,6
2026-07-21 16:58:34,MEV,3.4130,3.2340,-5.24,SL-3.0%,4
2026-07-21 17:01:35,MEV,3.0000,3.0900,+3.00,TP+3.0%,1
2026-07-21 17:07:38,MEV,3.0970,3.0030,-3.04,SL-3.0%,4
2026-07-21 17:21:43,MEV,2.8260,2.7300,-3.40,SL-3.0%,12
2026-07-23 00:08:48,GRND,17.8400,17.2300,-3.42,SL-3.0%,4
2026-07-23 00:12:58,LISTA,86.0000,89.0000,+3.49,TP+3.0%,1
2026-07-23 00:14:00,LISTA,89.0000,86.1900,-3.16,SL-3.0%,1
2026-07-23 00:18:08,LISTA,86.4800,90.4000,+4.53,TP+3.0%,3
2026-07-23 00:46:15,LISTA,90.4000,86.5900,-4.21,SL-3.0%,28
2026-07-23 00:48:19,LISTA,86.5900,82.4000,-4.84,SL-3.0%,2
2026-07-23 00:49:21,GRND,16.1900,15.6900,-3.09,SL-3.0%,30
2026-07-23 01:04:57,LISTA,82.1100,78.6500,-4.21,SL-3.0%,15
2026-07-23 01:20:34,LISTA,81.7500,77.8800,-4.73,SL-3.0%,10
2026-07-23 01:54:55,LISTA,76.9100,74.5300,-3.09,SL-3.0%,33
2026-07-23 22:13:09,CHR,18.7800,18.0400,-3.94,SL-3.0%,19
2026-07-23 23:10:15,CHR,18.2800,18.8300,+3.01,TP+3.0%,55
2026-07-25 00:26:06,AMP,0.6062,0.5784,-4.59,SL-3.0%,20
2026-07-26 00:11:53,REQ,100.0000,107.0000,+7.00,TP+3.0%,2
2026-07-26 00:12:55,REQ,107.0000,103.0000,-3.74,SL-3.0%,1
2026-07-26 00:15:59,REQ,103.0000,91.8500,-10.83,SL-3.0%,3
2026-07-26 00:19:05,REQ,84.9900,89.0000,+4.72,TP+3.0%,2
2026-07-26 00:22:10,REQ,86.7600,90.7900,+4.64,TP+3.0%,2
2026-07-26 00:25:14,REQ,90.7900,97.4700,+7.36,TP+3.0%,3
2026-07-26 00:32:24,REQ,97.4700,94.3900,-3.16,SL-3.0%,7
2026-07-26 00:34:27,REQ,95.2000,92.1000,-3.26,SL-3.0%,1
2026-07-26 00:45:42,REQ,101.0000,97.3600,-3.60,SL-3.0%,8
2026-07-26 00:48:45,FLUX,64.4000,62.0000,-3.73,SL-3.0%,3
2026-07-26 00:52:51,REQ,99.5200,103.0000,+3.50,TP+3.0%,4
2026-07-26 00:54:54,FLUX,62.0000,59.9700,-3.27,SL-3.0%,6
2026-07-26 01:01:03,REQ,103.0000,110.0000,+6.80,TP+3.0%,6
2026-07-26 01:02:04,REQ,110.0000,114.0000,+3.64,TP+3.0%,1
2026-07-26 01:04:07,REQ,114.0000,110.0000,-3.51,SL-3.0%,2
2026-07-26 02:40:46,CTK,151.0000,156.0000,+3.31,TP+3.0%,108
2026-07-26 02:50:02,IOST,0.9455,0.9473,+0.19,타임아웃120분,120
2026-07-26 03:05:29,FLUX,59.9100,60.1300,+0.37,타임아웃120분,120
