entry_date,exit_date,symbol,coin,entry_price,exit_price,mom_pct_at_entry,notional_usdt,pnl_pct,pnl_usdt,reason,hold_days,mfe_pct,mae_pct
2025-04-04,2025-04-17,LAYERUSDT,LAYER,2153.0,2827.0,25.17,30.0,31.3052,9.3915,랭크아웃(Top3이탈),13,43.43,-3.39
2025-04-17,2025-04-18,ARKUSDT,ARK,716.0,676.0,49.79,30.0,-5.5866,-1.676,랭크아웃(Top3이탈),1,0.0,-5.59
2025-04-15,2025-04-20,ARDRUSDT,ARDR,122.0,148.0,29.57,30.0,21.3115,6.3934,트레일(최고40%->21%),5,40.16,-0.0
2025-04-18,2025-04-20,STRAXUSDT,STRAX,98.03,89.74,67.12,30.0,-8.4566,-2.537,랭크아웃(Top3이탈),2,0.0,-8.46
2025-04-20,2025-04-21,ARKUSDT,ARK,731.0,685.0,59.96,30.0,-6.2927,-1.8878,랭크아웃(Top3이탈),1,0.0,-6.29
2025-04-20,2025-04-22,ARDRUSDT,ARDR,148.0,126.0,71.0,30.0,-14.8649,-4.4595,랭크아웃(Top3이탈),2,0.0,-14.86
2025-04-21,2025-04-24,MAGICUSDT,MAGIC,376.0,280.0,121.18,30.0,-25.5319,-7.6596,스탑-20%,3,0.0,-25.53
2025-04-22,2025-04-24,DEEPUSDT,DEEP,164.0,234.0,64.0,30.0,42.6829,12.8049,트레일(최고71%->43%),2,71.34,-0.0
2025-04-12,2025-04-25,XCNUSDT,XCN,28.68,31.03,74.88,30.0,8.1939,2.4582,랭크아웃(Top3이탈),13,10.22,-13.56
2025-04-24,2025-04-26,ARDRUSDT,ARDR,149.0,178.0,133.18,30.0,19.4631,5.8389,트레일(최고34%->19%),2,33.56,-0.0
2025-04-26,2025-04-28,ARDRUSDT,ARDR,178.0,181.0,173.13,30.0,1.6854,0.5056,랭크아웃(Top3이탈),2,1.69,-11.24
2025-04-25,2025-04-29,MAGICUSDT,MAGIC,295.0,299.0,152.14,30.0,1.3559,0.4068,랭크아웃(Top3이탈),4,3.39,-0.0
2025-04-24,2025-04-30,DEEPUSDT,DEEP,234.0,265.0,172.09,30.0,13.2479,3.9744,트레일(최고39%->13%),6,39.32,-0.0
2025-04-28,2025-04-30,PENGUUSDT,PENGU,17.16,15.26,186.19,30.0,-11.0723,-3.3217,랭크아웃(Top3이탈),2,0.0,-11.07
2025-04-30,2025-05-05,MAGICUSDT,MAGIC,307.0,235.0,174.11,30.0,-23.4528,-7.0358,스탑-20%,5,0.0,-23.45
2025-04-29,2025-05-06,VIRTUALUSDT,VIRTUAL,2108.0,2089.0,220.36,30.0,-0.9013,-0.2704,트레일(최고26%->-1%),7,25.62,-9.58
2025-04-30,2025-05-06,DEEPUSDT,DEEP,265.0,248.0,221.84,30.0,-6.4151,-1.9245,랭크아웃(Top3이탈),6,12.08,-6.42
2025-05-06,2025-05-10,MAGICUSDT,MAGIC,229.0,268.0,118.1,30.0,17.0306,5.1092,랭크아웃(Top3이탈),4,24.02,-3.06
2025-05-10,2025-05-13,BRETTUSDT,BRETT,115.0,113.0,134.12,30.0,-1.7391,-0.5217,랭크아웃(Top3이탈),3,2.61,-2.61
2025-05-13,2025-05-14,KAITOUSDT,KAITO,2803.0,2645.0,120.02,30.0,-5.6368,-1.691,랭크아웃(Top3이탈),1,0.0,-5.64
2025-05-05,2025-05-15,PENGUUSDT,PENGU,15.55,18.69,123.32,30.0,20.1929,6.0579,트레일(최고34%->20%),10,33.63,-0.32
2025-05-06,2025-05-17,VIRTUALUSDT,VIRTUAL,2089.0,2422.0,162.77,30.0,15.9406,4.7822,트레일(최고36%->16%),11,36.43,-8.14
2025-05-17,2025-05-19,VIRTUALUSDT,VIRTUAL,2422.0,2707.0,55.56,30.0,11.7671,3.5301,랭크아웃(Top3이탈),2,15.19,-0.0
2025-05-19,2025-05-20,SPURSUSDT,SPURS,1184.0,1215.0,51.02,30.0,2.6182,0.7855,랭크아웃(Top3이탈),1,2.62,-0.0
2025-05-20,2025-05-21,EIGENUSDT,EIGEN,1944.0,2104.0,47.5,30.0,8.2305,2.4691,랭크아웃(Top3이탈),1,8.23,-0.0
2025-05-21,2025-05-23,PEPEUSDT,PEPE,0.0196,0.0209,53.12,30.0,6.6327,1.9898,랭크아웃(Top3이탈),2,6.63,-0.0
2025-05-23,2025-05-26,COOKIEUSDT,COOKIE,435.0,379.0,79.01,30.0,-12.8736,-3.8621,랭크아웃(Top3이탈),3,0.0,-12.87
